post_external_id,post_title,post_slug,post_body,post_status,post_published_at,author_username,author_email,author_role,categories,tags,media_filename,media_url,media_mime_type,comment_author_name,comment_author_email,comment_content
p_0001,Gcp vs Alternatives,gcp-0001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.",published,2025-06-26T14:54:09.860053,author_008,author_008@example.com,contributor,Business|Technology|Design,agile,image_0017.gif,/uploads/image_0017.gif,image/gif,User 028,user028@example.com,I had a similar experience recently.
p_0001,Gcp vs Alternatives,gcp-0001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.",published,2025-06-26T14:54:09.860053,author_008,author_008@example.com,contributor,Business|Technology|Design,agile,image_0017.gif,/uploads/image_0017.gif,image/gif,User 092,user092@example.com,Could you elaborate on the second part?
p_0001,Gcp vs Alternatives,gcp-0001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.",published,2025-06-26T14:54:09.860053,author_008,author_008@example.com,contributor,Business|Technology|Design,agile,image_0017.gif,/uploads/image_0017.gif,image/gif,User 028,user028@example.com,Just tried this approach -- it works.
p_0002,Building Production-Ready Aws Apps,aws-0002,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.",published,2026-01-04T14:54:09.860141,author_004,author_004@example.com,editor,Travel|Marketing|Education,kubernetes|nodejs|flask|nosql,image_0048.png,/uploads/image_0048.png,image/png,User 015,user015@example.com,I disagree with point 3 -- here's why...
p_0002,Building Production-Ready Aws Apps,aws-0002,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.",published,2026-01-04T14:54:09.860141,author_004,author_004@example.com,editor,Travel|Marketing|Education,kubernetes|nodejs|flask|nosql,image_0048.png,/uploads/image_0048.png,image/png,User 081,user081@example.com,I disagree with point 3 -- here's why...
p_0002,Building Production-Ready Aws Apps,aws-0002,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.",published,2026-01-04T14:54:09.860141,author_004,author_004@example.com,editor,Travel|Marketing|Education,kubernetes|nodejs|flask|nosql,image_0048.png,/uploads/image_0048.png,image/png,User 088,user088@example.com,Bookmarked for later reference.
p_0003,Best Practices for Redis,redis-0003,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.",published,2025-11-05T14:54:09.860177,author_012,author_012@example.com,contributor,Marketing|Travel|Technology,github,,,,User 099,user099@example.com,Could you elaborate on the second part?
p_0003,Best Practices for Redis,redis-0003,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.",published,2025-11-05T14:54:09.860177,author_012,author_012@example.com,contributor,Marketing|Travel|Technology,github,,,,User 015,user015@example.com,This is exactly what I was looking for.
p_0003,Best Practices for Redis,redis-0003,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.",published,2025-11-05T14:54:09.860177,author_012,author_012@example.com,contributor,Marketing|Travel|Technology,github,,,,User 056,user056@example.com,I disagree with point 3 -- here's why...
p_0003,Best Practices for Redis,redis-0003,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris.",published,2025-11-05T14:54:09.860177,author_012,author_012@example.com,contributor,Marketing|Travel|Technology,github,,,,User 059,user059@example.com,Great post! Really helpful.
